"rel_time_event","event_prob","strata"
0,0.512562814070352,"14"
0.0798,0.517587939698492,"14"
0.088,0.522613065326633,"14"
0.0975,0.527638190954774,"14"
0.107,0.532663316582914,"14"
0.1323,0.537688442211055,"14"
0.1351,0.542713567839196,"14"
0.1609,0.547738693467337,"14"
0.1869,0.552763819095477,"14"
0.2049,0.557788944723618,"14"
0.2086,0.562814070351759,"14"
0.2101,0.567839195979899,"14"
0.2176,0.57286432160804,"14"
0.2198,0.577889447236181,"14"
0.2414,0.582914572864321,"14"
0.2659,0.587939698492462,"14"
0.2729,0.592964824120603,"14"
0.2769,0.597989949748744,"14"
0.3182,0.603015075376884,"14"
0.3316,0.608040201005025,"14"
0.3732,0.613065326633166,"14"
0.3766,0.618090452261306,"14"
0.3914,0.623115577889447,"14"
0.3951,0.628140703517588,"14"
0.4044,0.633165829145728,"14"
0.4096,0.638190954773869,"14"
0.419,0.64321608040201,"14"
0.4236,0.648241206030151,"14"
0.4275,0.653266331658291,"14"
0.4519,0.658291457286432,"14"
0.4632,0.663316582914573,"14"
0.476,0.668341708542713,"14"
0.4902,0.673366834170854,"14"
0.5,0.678391959798995,"14"
0.5042,0.683417085427136,"14"
0.5174,0.688442211055276,"14"
0.5239,0.693467336683417,"14"
0.534,0.698492462311558,"14"
0.5432,0.703517587939698,"14"
0.5818,0.708542713567839,"14"
0.5848,0.71356783919598,"14"
0.5968,0.71859296482412,"14"
0.6009,0.723618090452261,"14"
0.6033,0.728643216080402,"14"
0.6116,0.733668341708543,"14"
0.6245,0.738693467336683,"14"
0.6355,0.743718592964824,"14"
0.6356,0.748743718592965,"14"
0.6649,0.753768844221105,"14"
0.6745,0.758793969849246,"14"
0.6846,0.763819095477387,"14"
0.6932,0.768844221105528,"14"
0.694,0.773869346733668,"14"
0.6957,0.778894472361809,"14"
0.7015,0.78391959798995,"14"
0.7072,0.78894472361809,"14"
0.7246,0.793969849246231,"14"
0.7649,0.798994974874372,"14"
0.7673,0.804020100502512,"14"
0.8,0.809045226130653,"14"
0.8133,0.814070351758794,"14"
0.8291,0.819095477386935,"14"
0.8373,0.824120603015075,"14"
0.8391,0.829145728643216,"14"
0.8481,0.834170854271357,"14"
0.8625,0.839195979899497,"14"
0.8648,0.844221105527638,"14"
0.8682,0.849246231155779,"14"
0.9133,0.85427135678392,"14"
0.9221,0.85929648241206,"14"
0.9402,0.864321608040201,"14"
0.97,0.869346733668342,"14"
0.9772,0.874371859296482,"14"
0.9931,0.879396984924623,"14"
1,1,"14"
0,0.423076923076923,"21"
0.0507,0.442307692307692,"21"
0.0557,0.461538461538462,"21"
0.0762999999999999,0.480769230769231,"21"
0.0791999999999999,0.5,"21"
0.1026,0.519230769230769,"21"
0.1045,0.538461538461539,"21"
0.137,0.557692307692308,"21"
0.1823,0.576923076923077,"21"
0.1994,0.596153846153846,"21"
0.2073,0.615384615384615,"21"
0.2219,0.634615384615385,"21"
0.2418,0.653846153846154,"21"
0.2478,0.673076923076923,"21"
0.2658,0.692307692307692,"21"
0.283,0.711538461538462,"21"
0.304,0.730769230769231,"21"
0.349,0.75,"21"
0.3496,0.769230769230769,"21"
0.3649,0.788461538461539,"21"
0.3825,0.807692307692308,"21"
0.4409,0.826923076923077,"21"
0.4774,0.846153846153846,"21"
0.4928,0.865384615384615,"21"
0.4993,0.884615384615385,"21"
0.6067,0.903846153846154,"21"
0.6131,0.923076923076923,"21"
0.6264,0.942307692307692,"21"
0.7255,0.961538461538462,"21"
0.7307,0.980769230769231,"21"
1,1,"21"
0,0.7,"30"
0.0430999999999999,0.733333333333333,"30"
0.0453999999999999,0.766666666666667,"30"
0.0620999999999999,0.8,"30"
0.2392,0.833333333333333,"30"
0.2604,0.866666666666667,"30"
0.5012,0.9,"30"
0.5078,0.933333333333333,"30"
0.5582,0.966666666666667,"30"
0.9013,1,"30"
0,0.777777777777778,"60"
0.0226000000000001,0.796296296296296,"60"
0.0440999999999999,0.814814814814815,"60"
0.1125,0.833333333333333,"60"
0.1164,0.851851851851852,"60"
0.1175,0.87037037037037,"60"
0.1274,0.888888888888889,"60"
0.155,0.907407407407407,"60"
0.1659,0.925925925925926,"60"
0.3878,0.944444444444444,"60"
0.4058,0.962962962962963,"60"
0.4526,0.981481481481482,"60"
0.6453,1,"60"
0,0.774193548387097,"90"
0.0400999999999999,0.806451612903226,"90"
0.0615,0.838709677419355,"90"
0.0936,0.870967741935484,"90"
0.0988,0.903225806451613,"90"
0.6598,0.935483870967742,"90"
0.9709,0.967741935483871,"90"
1,1,"90"
0,0.75,"180"
0.0497,0.770833333333333,"180"
0.0571999999999999,0.791666666666667,"180"
0.1398,0.8125,"180"
0.2195,0.833333333333333,"180"
0.2768,0.854166666666667,"180"
0.3771,0.875,"180"
0.4149,0.895833333333333,"180"
0.4904,0.916666666666667,"180"
0.5872,0.9375,"180"
0.8555,0.958333333333333,"180"
