from_hospital,to_center,driving_distance
1283,GKITP,382.573
1283,GKLTP,315.945
1283,GLPTP,542.986
1283,GMBTP,431.496
1283,GMHTP,830.244
1283,GMLTP,855.422
1283,GMNTP,200.443
1283,GMZTP,479.271
1283,GNBTP,641.333
1283,GRBTP,761.829
1283,GROTP,468.579
1283,GTUTP,692.398
1283,GWZTP,561.068
1283,HBSTP,1311.439
1283,NGRTP,0
1283,NLBTP,220.229
1283,NRDTP,247.368
1283,SLOTP,1240.871
1211,AGATP,1000.206
1211,AIBTP,768.696
1211,AWGTP,998.118
1211,BANTP,116.263
1211,BBRTP,138.538
1211,BGETP,175.065
1211,BLATP,115.325
1211,BLGTP,40.396
1211,BLMTP,102.935
1211,CZATP,1182.618
1211,CZMTP,1181.036
1211,CZPTP,1182.618
1211,GAKTP,40.022
1211,GBCTP,668.111
1211,GBOTP,129.262
1211,GESTP,137.675
1211,GFMTP,288.898
1211,GGOTP,394.838
1211,GHBTP,342.636
1211,GHGTP,512.81
1211,GHOTP,395.702
1211,GHSTP,274.809
1211,GJETP,512.895
1211,GKITP,594.265
1211,GKLTP,104.867
1211,GLPTP,594.207
1211,GMBTP,536.44
1211,GMHTP,677.014
1211,GMLTP,662.925
1211,GMNTP,233.653
1211,GMZTP,273.069
1211,GNBTP,489.264
1211,GRBTP,608.599
1211,GROTP,680.271
1211,GTUTP,475.374
1211,GWZTP,405.966
1211,HBSTP,1250.745
1211,NGRTP,380.786
1211,NLBTP,226.282
1211,NRDTP,205.218
1211,SLOTP,1087.64
1210,AGATP,1149.529
1210,AIBTP,958.821
1210,AWGTP,1147.441
1210,BANTP,164.523
1210,BBRTP,207.975
1210,BGETP,215.852
1210,BLATP,201.483
1210,BLGTP,244.6
1210,BLMTP,216.394
1210,CZATP,1331.941
1210,CZMTP,1330.36
1210,CZPTP,1331.941
1210,GAKTP,227.524
1210,GBCTP,657.332
1210,GBOTP,292.243
1210,GESTP,212.635
1210,GFMTP,438.221
1210,GGOTP,459.788
1210,GHBTP,503.427
1210,GHGTP,471.848
1210,GHOTP,384.923
1210,GHSTP,484.071
1210,GJETP,592.24
1210,GKITP,553.303
1210,GKLTP,267.868
1210,GLPTP,637.15
1210,GMBTP,525.661
1210,GMHTP,826.337
1210,GMLTP,853.29
1210,GMNTP,224.359
1210,GMZTP,431.193
1210,GNBTP,638.587
1210,GRBTP,757.922
1210,GROTP,639.308
1210,GTUTP,644.32
1210,GWZTP,555.289
1210,HBSTP,1400.068
1210,NGRTP,182.973
1210,NLBTP,39.472
1210,NRDTP,69.565
1210,SLOTP,1236.964
172,AGATP,1115.567
172,AIBTP,884.058
172,AWGTP,1113.479
172,BANTP,36.916
172,BBRTP,16.387
172,BGETP,52.914
172,BLATP,19.154
172,BLGTP,112.519
172,BLMTP,34.064
172,CZATP,1297.979
172,CZMTP,1296.398
172,CZPTP,1297.979
172,GAKTP,152.801
172,GBCTP,763.676
172,GBOTP,244.624
172,GESTP,239.518
172,GFMTP,404.259
172,GGOTP,490.403
172,GHBTP,457.997
172,GHGTP,596.606
172,GHOTP,491.267
172,GHSTP,349.525
172,GJETP,628.256
172,GKITP,678.061
172,GKLTP,220.228
172,GLPTP,689.772
172,GMBTP,632.005
172,GMHTP,792.375
172,GMLTP,778.286
172,GMNTP,317.448
172,GMZTP,388.43
172,GNBTP,604.625
172,GRBTP,723.96
172,GROTP,764.066
172,GTUTP,590.735
172,GWZTP,521.327
172,HBSTP,1366.106
172,NGRTP,349.624
172,NLBTP,181.057
172,NRDTP,141.726
172,SLOTP,1203.002
359,AGATP,939.742
359,AIBTP,749.034
359,AWGTP,937.654
359,BANTP,231.757
359,BBRTP,247.928
359,BGETP,284.454
359,BLATP,224.714
359,BLGTP,170.572
359,BLMTP,207.183
359,CZATP,1122.154
359,CZMTP,1120.572
359,CZPTP,1122.154
359,GAKTP,113.433
359,GBCTP,526.476
359,GBOTP,82.456
359,GESTP,29.958
359,GFMTP,228.434
359,GGOTP,253.203
359,GHBTP,293.64
359,GHGTP,385.203
359,GHOTP,254.068
359,GHSTP,300.987
359,GJETP,385.655
359,GKITP,466.658
359,GKLTP,58.08
359,GLPTP,452.572
359,GMBTP,394.805
359,GMHTP,616.55
359,GMLTP,643.502
359,GMNTP,110.299
359,GMZTP,221.406
359,GNBTP,428.799
359,GRBTP,548.134
359,GROTP,552.663
359,GTUTP,434.532
359,GWZTP,345.502
359,HBSTP,1190.281
359,NGRTP,292.172
359,NLBTP,260.236
359,NRDTP,261.671
359,SLOTP,1027.176
271,AGATP,1058.935
271,AIBTP,916.569
271,AWGTP,922.069
271,BANTP,489.107
271,BBRTP,532.559
271,BGETP,540.436
271,BLATP,522.36
271,BLGTP,473.319
271,BLMTP,504.83
271,CZATP,1241.348
271,CZMTP,1239.766
271,CZPTP,1241.348
271,GAKTP,416.18
271,GBCTP,359.578
271,GBOTP,395.719
271,GESTP,296.209
271,GFMTP,454.27
271,GGOTP,221.403
271,GHBTP,532.972
271,GHGTP,94.382
271,GHOTP,110.786
271,GHSTP,600.99
271,GJETP,424.749
271,GKITP,175.837
271,GKLTP,356.837
271,GLPTP,354.237
271,GMBTP,242.748
271,GMHTP,748.872
271,GMLTP,764.856
271,GMNTP,210.043
271,GMZTP,486.405
271,GNBTP,546.394
271,GRBTP,664.134
271,GROTP,261.842
271,GTUTP,663.093
271,GWZTP,466.13
271,HBSTP,1122.69
271,NGRTP,224.687
271,NLBTP,433.239
271,NRDTP,431.849
271,SLOTP,1159.499
1069,AGATP,937.65
1069,AIBTP,795.284
1069,AWGTP,800.784
1069,BANTP,681.899
1069,BBRTP,725.351
1069,BGETP,733.228
1069,BLATP,715.152
1069,BLGTP,647.247
1069,BLMTP,697.621
1069,CZATP,1120.062
1069,CZMTP,1118.48
1069,CZPTP,1120.062
1069,GAKTP,590.108
1069,GBCTP,173.689
1069,GBOTP,553.637
1069,GESTP,483.897
1069,GFMTP,471.174
1069,GGOTP,238.307
1069,GHBTP,549.876
1069,GHGTP,190.08
1069,GHOTP,231.675
1069,GHSTP,617.894
1069,GJETP,303.463
1069,GKITP,259.457
1069,GKLTP,526.868
1069,GLPTP,232.951
1069,GMBTP,108.456
1069,GMHTP,627.587
1069,GMLTP,643.57
1069,GMNTP,423.783
1069,GMZTP,503.309
1069,GNBTP,484.487
1069,GRBTP,542.848
1069,GROTP,185.996
1069,GTUTP,666.781
1069,GWZTP,469.818
1069,HBSTP,1001.404
1069,NGRTP,417.414
1069,NLBTP,646.668
1069,NRDTP,645.279
1069,SLOTP,1038.213
261,AGATP,902.985
261,AIBTP,710.502
261,AWGTP,900.896
261,BANTP,408.16
261,BBRTP,436.962
261,BGETP,459.489
261,BLATP,413.748
261,BLGTP,359.606
261,BLMTP,396.217
261,CZATP,1085.397
261,CZMTP,1083.815
261,CZPTP,1085.397
261,GAKTP,302.468
261,GBCTP,365.42
261,GBOTP,265.997
261,GESTP,200.746
261,GFMTP,298.757
261,GGOTP,97.616
261,GHBTP,377.459
261,GHGTP,231.082
261,GHOTP,93.011
261,GHSTP,445.477
261,GJETP,300.119
261,GKITP,323.523
261,GKLTP,239.228
261,GLPTP,290.173
261,GMBTP,233.749
261,GMHTP,579.793
261,GMLTP,604.97
261,GMNTP,167.357
261,GMZTP,330.892
261,GNBTP,390.881
261,GRBTP,511.377
261,GROTP,398.542
261,GTUTP,507.58
261,GWZTP,310.616
261,HBSTP,1058.626
261,NGRTP,300.709
261,NLBTP,406.256
261,NRDTP,407.691
261,SLOTP,990.419
257,AGATP,971.002
257,AIBTP,757.453
257,AWGTP,834.136
257,BANTP,461.3
257,BBRTP,504.752
257,BGETP,512.628
257,BLATP,494.553
257,BLGTP,426.648
257,BLMTP,477.022
257,CZATP,1153.414
257,CZMTP,1151.832
257,CZPTP,1153.414
257,GAKTP,369.509
257,GBCTP,286.485
257,GBOTP,333.038
257,GESTP,263.297
257,GFMTP,345.709
257,GGOTP,112.841
257,GHBTP,424.411
257,GHGTP,170.001
257,GHOTP,14.204
257,GHSTP,492.429
257,GJETP,336.816
257,GKITP,262.442
257,GKLTP,306.269
257,GLPTP,266.303
257,GMBTP,154.814
257,GMHTP,660.939
257,GMLTP,676.922
257,GMNTP,203.183
257,GMZTP,377.844
257,GNBTP,437.833
257,GRBTP,576.2
257,GROTP,337.461
257,GTUTP,554.532
257,GWZTP,357.568
257,HBSTP,1034.757
257,NGRTP,312.014
257,NLBTP,426.069
257,NRDTP,424.679
257,SLOTP,1071.566
449,AGATP,1035.999
449,AIBTP,845.291
449,AWGTP,1033.911
449,BANTP,272.102
449,BBRTP,315.554
449,BGETP,323.431
449,BLATP,305.355
449,BLGTP,256.313
449,BLMTP,287.824
449,CZATP,1218.412
449,CZMTP,1216.83
449,CZPTP,1218.412
449,GAKTP,199.175
449,GBCTP,516.784
449,GBOTP,178.714
449,GESTP,83.182
449,GFMTP,324.691
449,GGOTP,303.467
449,GHBTP,389.898
449,GHGTP,331.3
449,GHOTP,244.375
449,GHSTP,397.244
449,GJETP,435.919
449,GKITP,412.755
449,GKLTP,154.338
449,GLPTP,496.602
449,GMBTP,385.113
449,GMHTP,712.808
449,GMLTP,739.76
449,GMNTP,51.461
449,GMZTP,317.663
449,GNBTP,526.681
449,GRBTP,644.392
449,GROTP,498.76
449,GTUTP,530.79
449,GWZTP,441.759
449,HBSTP,1265.055
449,NGRTP,174.879
449,NLBTP,200.2
449,NRDTP,201.636
449,SLOTP,1123.434
465,AGATP,938.228
465,AIBTP,745.745
465,AWGTP,936.14
465,BANTP,293.391
465,BBRTP,336.844
465,BGETP,344.72
465,BLATP,312.648
465,BLGTP,258.506
465,BLMTP,295.117
465,CZATP,1120.64
465,CZMTP,1119.059
465,CZPTP,1120.64
465,GAKTP,201.367
465,GBCTP,445.828
465,GBOTP,164.896
465,GESTP,95.389
465,GFMTP,267.556
465,GGOTP,202.911
465,GHBTP,346.258
