from_hospital,to_center,total_time_byplane
390,GTUTP,1.9040616712467582
390,GWZTP,2.810988420461958
390,HBSTP,2.644010231818808
390,NGRTP,1.6358145676058389
390,NLBTP,1.7177363354998683
390,NRDTP,1.3827363354998683
390,SLOTP,2.4369009428925716
99,AGATP,2.7653298428768993
99,AIBTP,2.167953266325353
99,AWGTP,3.0518582029664536
99,BANTP,1.5931820601808537
99,BBRTP,1.731666666666667
99,BGETP,2.090845115481299
99,BLATP,1.461666666666667
99,BLGTP,1.9049150276532458
99,BLMTP,1.65
99,CZATP,2.9223544400507926
99,CZMTP,2.8806877733841256
99,CZPTP,2.9223544400507926
99,GAKTP,1.6725474650994077
99,GBCTP,2.7362313892905172
99,GBOTP,2.0840502977026336
99,GESTP,1.8873484735495705
99,GFMTP,2.06635445688637
99,GGOTP,2.7099627686168626
99,GHBTP,1.9882061604032022
99,GHGTP,2.126395828566205
99,GHOTP,2.212530648798623
99,GHSTP,2.094824753369922
99,GJETP,2.863385374331708
99,GKITP,2.189381901965513
99,GKLTP,1.9840502977026337
99,GLPTP,2.357027218045166
99,GMBTP,2.1234334528924372
99,GMHTP,2.553251456675284
99,GMLTP,2.7149181233419513
99,GMNTP,2.019245875045544
99,GMZTP,2.254687790219703
99,GNBTP,2.26071777684962
99,GRBTP,3.1515847900086142
99,GROTP,2.6472479667314914
99,GTUTP,2.3354715932188124
99,GWZTP,3.26571777684962
99,HBSTP,3.100437323193654
99,NGRTP,1.9814474891911036
99,NLBTP,1.9559066410633275
99,NRDTP,1.6209066410633275
99,SLOTP,2.876284087430311
98,AGATP,2.7953298428768996
98,AIBTP,2.197953266325353
98,AWGTP,3.0818582029664534
98,BANTP,1.6231820601808538
98,BBRTP,1.7616666666666672
98,BGETP,2.120845115481299
98,BLATP,1.491666666666667
98,BLGTP,1.9349150276532456
98,BLMTP,1.68
98,CZATP,2.952354440050793
98,CZMTP,2.910687773384126
98,CZPTP,2.952354440050793
98,GAKTP,1.7025474650994075
98,GBCTP,2.766231389290517
98,GBOTP,2.114050297702634
98,GESTP,1.9173484735495703
98,GFMTP,2.0963544568863703
98,GGOTP,2.739962768616863
98,GHBTP,2.018206160403202
98,GHGTP,2.156395828566205
98,GHOTP,2.2425306487986223
98,GHSTP,2.1248247533699223
98,GJETP,2.8933853743317073
98,GKITP,2.2193819019655128
98,GKLTP,2.0140502977026338
98,GLPTP,2.3870272180451657
98,GMBTP,2.153433452892437
98,GMHTP,2.583251456675284
98,GMLTP,2.744918123341951
98,GMNTP,2.049245875045544
98,GMZTP,2.284687790219703
98,GNBTP,2.29071777684962
98,GRBTP,3.181584790008614
98,GROTP,2.6772479667314912
98,GTUTP,2.365471593218812
98,GWZTP,3.29571777684962
98,HBSTP,3.1304373231936538
98,NGRTP,2.0114474891911036
98,NLBTP,1.9859066410633275
98,NRDTP,1.6509066410633275
98,SLOTP,2.906284087430311
1208,AGATP,2.6130987580465357
1208,AIBTP,2.0551211971038073
1208,AWGTP,2.869592979869534
1208,BANTP,1.4851704106345067
1208,BBRTP,1.7026007654329847
1208,BGETP,1.999296873583118
1208,BLATP,1.4326007654329849
1208,BLGTP,1.826584202211503
1208,BLMTP,1.6209340987663177
1208,CZATP,2.7838321907873276
1208,CZMTP,2.7421655241206606
1208,CZPTP,2.7838321907873276
1208,GAKTP,1.537376776707693
1208,GBCTP,2.4492936215312024
1208,GBOTP,1.9124272355185863
1208,GESTP,1.6786467490877275
1208,GFMTP,1.9178146669050726
1208,GGOTP,2.467361765584071
1208,GHBTP,1.8656452170875566
1208,GHGTP,1.774192240579179
1208,GHOTP,1.9082779907736445
1208,GHSTP,2.014269211617968
1208,GJETP,2.636417965842047
1208,GKITP,1.8173518823415593
1208,GKLTP,1.8124272355185862
1208,GLPTP,2.1055613061336027
1208,GMBTP,1.8452131924258355
1208,GMHTP,2.4114674463570687
1208,GMLTP,2.5731341130237353
1208,GMNTP,1.7190646991868066
1208,GMZTP,2.106148000238406
1208,GNBTP,2.094177421510902
1208,GRBTP,3.0098007796903987
1208,GROTP,2.306302758249209
1208,GTUTP,2.223910691317555
1208,GWZTP,3.099177421510902
1208,HBSTP,2.9124291458970974
1208,NGRTP,1.5908361389817007
1208,NLBTP,1.640983433099605
1208,NRDTP,1.3059834330996047
1208,SLOTP,2.745587817746723
1283,AGATP,2.5666523069651475
1283,AIBTP,2.059341394696836
1283,AWGTP,2.7947488012874535
1283,BANTP,1.6535227482315549
1283,BBRTP,1.8647808225244364
1283,BGETP,2.185784809579677
1283,BLATP,1.5947808225244366
1283,BLGTP,1.948185670510934
1283,BLMTP,1.7831141558577694
1283,CZATP,2.7478088258270663
1283,CZMTP,2.7061421591603994
1283,CZPTP,2.7478088258270663
1283,GAKTP,1.6208145676058379
1283,GBCTP,2.302610109645878
1283,GBOTP,1.9451444450471187
1283,GESTP,1.7134310229665433
1283,GFMTP,1.9246067618150733
1283,GGOTP,2.3911898402127427
1283,GHBTP,1.8893078060648767
1283,GHGTP,1.5954471693250358
1283,GHOTP,1.7706487451328823
1283,GHSTP,2.0848747610264295
1283,GJETP,2.5525878378697313
1283,GKITP,1.6317284208824896
1283,GKLTP,1.8451444450471186
1283,GLPTP,1.9919277008186786
1283,GMBTP,1.71356383320029
1283,GMHTP,2.3891102030460782
1283,GMLTP,2.5507768697127453
1283,GMNTP,1.638189553277841
1283,GMZTP,2.1129400951484065
1283,GNBTP,2.0572072056330146
1283,GRBTP,2.9874435363794083
1283,GROTP,2.1288001377796686
1283,GTUTP,2.245697884464941
1283,GWZTP,3.0622072056330145
