from_hospital,to_center,driving_time
391,AGATP,8.312999999999999
391,AIBTP,6.58325
391,AWGTP,8.225166666666668
391,BANTP,1.5484166666666694
391,BBRTP,1.67025
391,BGETP,1.9677499999999999
391,BLATP,1.3996666666666695
391,BLGTP,0.821666666666667
391,BLMTP,1.2792499999999998
391,CZATP,10.031416666666695
391,CZMTP,9.99175
391,CZPTP,10.031416666666695
391,GAKTP,0.09208333333333305
391,GBCTP,5.3450833333333305
391,GBOTP,0.9760833333333305
391,GESTP,1.1588333333333305
391,GFMTP,2.2893333333333303
391,GGOTP,3.2229166666666695
391,GHBTP,2.7341666666666695
391,GHGTP,4.214583333333331
391,GHOTP,3.1846666666666694
391,GHSTP,2.6548333333333303
391,GJETP,4.217416666666669
391,GKITP,4.897416666666669
391,GKLTP,0.750833333333333
391,GLPTP,4.8195
391,GMBTP,4.218833333333331
391,GMHTP,5.4456666666666695
391,GMLTP,5.432916666666669
391,GMNTP,1.9960833333333305
391,GMZTP,2.2000833333333305
391,GNBTP,3.9723333333333306
391,GRBTP,4.8790000000000004
391,GROTP,5.5335
391,GTUTP,4.0474166666666695
391,GWZTP,3.2087499999999998
391,HBSTP,10.296333333333305
391,NGRTP,3.2809999999999997
391,NLBTP,2.729916666666669
391,NRDTP,2.4295833333333303
391,SLOTP,9.08225
390,AGATP,8.28041666666667
390,AIBTP,6.550666666666669
390,AWGTP,8.19258333333333
390,BANTP,1.5540833333333306
390,BBRTP,1.6135833333333305
390,BGETP,1.9096666666666695
390,BLATP,1.343
390,BLGTP,0.765
390,BLMTP,1.2409999999999999
390,CZATP,9.998833333333305
390,CZMTP,9.957749999999999
390,CZPTP,9.998833333333305
390,GAKTP,0.15158333333333304
390,GBCTP,5.311083333333331
390,GBOTP,0.9420833333333305
390,GESTP,1.12625
390,GFMTP,2.25675
390,GGOTP,3.1889166666666693
390,GHBTP,2.7015833333333306
390,GHGTP,4.1819999999999995
390,GHOTP,3.1520833333333305
390,GHSTP,2.59675
390,GJETP,4.184833333333331
390,GKITP,4.864833333333331
390,GKLTP,0.7182499999999999
390,GLPTP,4.7855
390,GMBTP,4.186249999999999
390,GMHTP,5.41308333333333
390,GMLTP,5.398916666666669
390,GMNTP,1.9620833333333305
390,GMZTP,2.1675
390,GNBTP,3.9383333333333304
390,GRBTP,4.846416666666669
390,GROTP,5.499499999999999
390,GTUTP,4.01341666666667
390,GWZTP,3.17475
390,HBSTP,10.262333333333306
390,NGRTP,3.248416666666669
390,NLBTP,2.7355833333333304
390,NRDTP,2.43525
390,SLOTP,9.049666666666695
99,AGATP,9.818916666666695
99,AIBTP,8.089166666666669
99,AWGTP,9.731083333333306
99,BANTP,0.6771666666666669
99,BBRTP,0.37825
99,BGETP,0.32866666666666694
99,BLATP,0.47883333333333306
99,BLGTP,1.3585833333333306
99,BLMTP,0.6389166666666669
99,CZATP,11.537333333333304
99,CZMTP,11.497666666666694
99,CZPTP,11.537333333333304
99,GAKTP,1.7254999999999998
99,GBCTP,6.78016666666667
99,GBOTP,2.4819999999999998
99,GESTP,2.499
99,GFMTP,3.79525
99,GGOTP,4.658
99,GHBTP,4.24008333333333
99,GHGTP,5.527833333333331
99,GHOTP,4.61975
99,GHSTP,3.38583333333333
99,GJETP,5.72333333333333
99,GKITP,6.210666666666669
99,GKLTP,2.25675
99,GLPTP,6.25458333333333
99,GMBTP,5.653916666666669
99,GMHTP,6.951583333333329
99,GMLTP,6.9388333333333305
99,GMNTP,3.3008333333333306
99,GMZTP,3.706
99,GNBTP,5.47825
99,GRBTP,6.38491666666667
99,GROTP,6.846749999999999
99,GTUTP,5.55333333333333
99,GWZTP,4.71466666666667
99,HBSTP,11.802249999999999
99,NGRTP,3.94116666666667
99,NLBTP,2.1816666666666693
99,NRDTP,1.7481666666666695
99,SLOTP,10.588166666666694
98,AGATP,9.845833333333305
98,AIBTP,8.11608333333333
98,AWGTP,9.758000000000001
98,BANTP,0.7026666666666669
98,BBRTP,0.40375
98,BGETP,0.37541666666666695
98,BLATP,0.5057499999999999
98,BLGTP,1.3855
98,BLMTP,0.665833333333333
98,CZATP,11.56425
98,CZMTP,11.524583333333304
98,CZPTP,11.56425
98,GAKTP,1.751
98,GBCTP,6.807083333333329
98,GBOTP,2.5075000000000003
98,GESTP,2.5259166666666695
98,GFMTP,3.822166666666669
98,GGOTP,4.68491666666667
98,GHBTP,4.2669999999999995
98,GHGTP,5.55475
98,GHOTP,4.64666666666667
98,GHSTP,3.4113333333333307
98,GJETP,5.750249999999999
98,GKITP,6.237583333333331
98,GKLTP,2.2836666666666696
98,GLPTP,6.281499999999999
98,GMBTP,5.6808333333333305
98,GMHTP,6.9785
98,GMLTP,6.96433333333333
98,GMNTP,3.32775
98,GMZTP,3.7329166666666693
98,GNBTP,5.503749999999999
98,GRBTP,6.41183333333333
98,GROTP,6.87225
98,GTUTP,5.57883333333333
98,GWZTP,4.740166666666669
98,HBSTP,11.827749999999998
98,NGRTP,3.9680833333333307
98,NLBTP,2.2085833333333307
98,NRDTP,1.7750833333333302
98,SLOTP,10.615083333333304
1208,AGATP,9.937916666666695
1208,AIBTP,8.276166666666668
1208,AWGTP,9.850083333333304
1208,BANTP,1.7113333333333305
1208,BBRTP,2.1448333333333305
1208,BGETP,2.1632499999999997
1208,BLATP,2.0145
1208,BLGTP,2.669
1208,BLMTP,2.1745833333333304
1208,CZATP,11.65775
1208,CZMTP,11.616666666666694
1208,CZPTP,11.65775
1208,GAKTP,2.3899166666666694
1208,GBCTP,5.7559166666666695
1208,GBOTP,2.7483333333333304
1208,GESTP,2.0215833333333304
1208,GFMTP,3.9142500000000005
1208,GGOTP,4.07575
1208,GHBTP,4.391666666666669
1208,GHGTP,4.2726666666666695
1208,GHOTP,3.5955000000000004
1208,GHSTP,4.78125
1208,GJETP,5.3450833333333305
1208,GKITP,4.9555
1208,GKLTP,2.5259166666666695
1208,GLPTP,5.522166666666669
1208,GMBTP,4.62966666666667
1208,GMHTP,7.072
1208,GMLTP,7.1485
1208,GMNTP,2.3984166666666695
1208,GMZTP,3.9142500000000005
1208,GNBTP,5.59725
1208,GRBTP,6.50391666666667
1208,GROTP,5.590166666666669
1208,GTUTP,5.764416666666669
1208,GWZTP,4.8336666666666694
1208,HBSTP,11.92125
1208,NGRTP,1.9776666666666696
1208,NLBTP,0.5836666666666669
1208,NRDTP,0.9080833333333305
1208,SLOTP,10.707166666666694
1283,AGATP,9.8855
1283,AIBTP,8.276166666666668
1283,AWGTP,9.797666666666695
1283,BANTP,3.4113333333333307
1283,BBRTP,3.8462500000000004
1283,BGETP,3.8646666666666696
1283,BLATP,3.715916666666669
1283,BLGTP,3.85475
1283,BLMTP,3.8759999999999994
1283,CZATP,11.603916666666693
1283,CZMTP,11.562833333333305
1283,CZPTP,11.603916666666693
1283,GAKTP,3.264
1283,GBCTP,4.91016666666667
1283,GBOTP,3.1138333333333303
1283,GESTP,2.3686666666666696
1283,GFMTP,4.27975
1283,GGOTP,3.774
1283,GHBTP,4.757166666666669
1283,GHGTP,2.8163333333333305
1283,GHOTP,2.7795
1283,GHSTP,5.18641666666667
1283,GJETP,5.04333333333333
1283,GKITP,3.499166666666669
1283,GKLTP,2.8914166666666694
1283,GLPTP,4.675
1283,GMBTP,3.783916666666669
1283,GMHTP,7.018166666666668
1283,GMLTP,7.14708333333333
1283,GMNTP,2.0329166666666696
1283,GMZTP,4.27975
1283,GNBTP,5.44
1283,GRBTP,6.450083333333331
1283,GROTP,4.13525
1283,GTUTP,6.129916666666669
1283,GWZTP,4.79966666666667
1283,HBSTP,11.197333333333304
1283,NGRTP,0
1283,NLBTP,2.4409166666666695
1283,NRDTP,2.729916666666669
1283,SLOTP,10.653333333333304
1211,AGATP,8.570833333333304
1211,AIBTP,6.84108333333333
1211,AWGTP,8.483
1211,BANTP,1.3146666666666695
1211,BBRTP,1.4109999999999998
1211,BGETP,1.7070833333333306
1211,BLATP,1.1404166666666693
1211,BLGTP,0.551083333333333
1211,BLMTP,1.0384166666666694
1211,CZATP,10.289250000000001
1211,CZMTP,10.249583333333305
1211,CZPTP,10.289250000000001
1211,GAKTP,0.4646666666666669
1211,GBCTP,5.60291666666667
1211,GBOTP,1.2339166666666694
1211,GESTP,1.3543333333333305
1211,GFMTP,2.5471666666666697
1211,GGOTP,3.4807499999999996
1211,GHBTP,2.992
1211,GHGTP,4.4327499999999995
1211,GHOTP,3.4425
1211,GHSTP,2.6505833333333304
1211,GJETP,4.47525
1211,GKITP,5.115583333333331
1211,GKLTP,1.0086666666666695
1211,GLPTP,5.07591666666667
1211,GMBTP,4.476666666666669
1211,GMHTP,5.7035
1211,GMLTP,5.69075
1211,GMNTP,2.20575
1211,GMZTP,2.4579166666666694
1211,GNBTP,4.230166666666669
1211,GRBTP,5.136833333333331
1211,GROTP,5.750249999999999
1211,GTUTP,4.303833333333331
1211,GWZTP,3.4651666666666694
1211,HBSTP,10.554166666666694
1211,NGRTP,3.4821666666666697
1211,NLBTP,2.5089166666666696
1211,NRDTP,2.19583333333333
1211,SLOTP,9.340083333333304
1210,AGATP,9.990333333333306
1210,AIBTP,8.32858333333333
1210,AWGTP,9.903916666666694
1210,BANTP,1.7736666666666694
1210,BBRTP,2.2085833333333307
1210,BGETP,2.227
1210,BLATP,2.0768333333333304
1210,BLGTP,2.73275
1210,BLMTP,2.2383333333333306
1210,CZATP,11.710166666666694
1210,CZMTP,11.669083333333305
1210,CZPTP,11.710166666666694
1210,GAKTP,2.453666666666669
1210,GBCTP,5.79983333333333
1210,GBOTP,2.8021666666666696
1210,GESTP,2.074
1210,GFMTP,3.9680833333333307
1210,GGOTP,4.12816666666667
1210,GHBTP,4.444083333333331
1210,GHGTP,4.318
1210,GHOTP,3.64083333333333
1210,GHSTP,4.8435833333333305
1210,GJETP,5.3975
1210,GKITP,4.9994166666666695
1210,GKLTP,2.5783333333333305
1210,GLPTP,5.566083333333331
1210,GMBTP,4.675
1210,GMHTP,7.124416666666669
1210,GMLTP,7.200916666666669
1210,GMNTP,2.4423333333333304
1210,GMZTP,3.966666666666669
1210,GNBTP,5.649666666666669
1210,GRBTP,6.55633333333333
1210,GROTP,5.6354999999999995
1210,GTUTP,5.816833333333331
1210,GWZTP,4.886083333333331
1210,HBSTP,11.973666666666695
1210,NGRTP,2.0215833333333304
1210,NLBTP,0.49158333333333304
1210,NRDTP,0.816
1210,SLOTP,10.759583333333305
172,AGATP,9.60925
172,AIBTP,7.879499999999999
172,AWGTP,9.522833333333304
172,BANTP,0.4675
172,BBRTP,0.26775
172,BGETP,0.56525
172,BLATP,0.26916666666666694
172,BLGTP,1.1503333333333303
172,BLMTP,0.42924999999999996
172,CZATP,11.329083333333305
172,CZMTP,11.287999999999998
172,CZPTP,11.329083333333305
172,GAKTP,1.5158333333333305
172,GBCTP,6.5705
172,GBOTP,2.2723333333333304
172,GESTP,2.2893333333333303
172,GFMTP,3.5869999999999997
172,GGOTP,4.448333333333331
172,GHBTP,4.0318333333333305
172,GHGTP,5.3195833333333304
172,GHOTP,4.4115
172,GHSTP,3.1761666666666692
172,GJETP,5.5150833333333305
172,GKITP,6.0009999999999994
172,GKLTP,2.0485
172,GLPTP,6.044916666666669
172,GMBTP,5.44425
172,GMHTP,6.7433333333333305
172,GMLTP,6.729166666666669
172,GMNTP,3.0911666666666693
172,GMZTP,3.49775
172,GNBTP,5.26858333333333
172,GRBTP,6.175249999999999
172,GROTP,6.63708333333333
172,GTUTP,5.343666666666669
172,GWZTP,4.505
172,HBSTP,11.592583333333305
172,NGRTP,3.7314999999999996
172,NLBTP,1.9719999999999998
172,NRDTP,1.5399166666666695
172,SLOTP,10.3785
359,AGATP,8.053749999999999
359,AIBTP,6.39341666666667
359,AWGTP,7.96733333333333
359,BANTP,2.2454166666666695
359,BBRTP,2.39133333333333
359,BGETP,2.6888333333333305
359,BLATP,2.12075
359,BLGTP,1.6376666666666695
359,BLMTP,1.97625
359,CZATP,9.773583333333304
359,CZMTP,9.7325
359,CZPTP,9.773583333333304
359,GAKTP,1.0469166666666694
359,GBCTP,4.352
359,GBOTP,0.8655833333333305
359,GESTP,0.4675
359,GFMTP,2.0315
359,GGOTP,2.2298333333333304
359,GHBTP,2.5075000000000003
359,GHGTP,3.2215
359,GHOTP,2.1915833333333303
359,GHSTP,2.93675
359,GJETP,3.499166666666669
359,GKITP,3.9043333333333305
359,GKLTP,0.6417499999999999
359,GLPTP,3.826416666666669
359,GMBTP,3.2257499999999997
359,GMHTP,5.18783333333333
359,GMLTP,5.26433333333333
359,GMNTP,1.003
359,GMZTP,2.0300833333333306
359,GNBTP,3.71308333333333
359,GRBTP,4.61975
359,GROTP,4.54041666666667
359,GTUTP,3.8816666666666695
359,GWZTP,2.9495
359,HBSTP,10.037083333333305
359,NGRTP,2.6406666666666694
359,NLBTP,2.58683333333333
359,NRDTP,2.5669999999999997
359,SLOTP,8.823
271,AGATP,8.990166666666696
271,AIBTP,7.734999999999999
271,AWGTP,8.24358333333333
271,BANTP,4.38458333333333
271,BBRTP,4.81808333333333
271,BGETP,4.8365
271,BLATP,4.561666666666669
271,BLGTP,4.15083333333333
271,BLMTP,4.417166666666669
271,CZATP,10.709999999999999
271,CZMTP,10.668916666666695
271,CZPTP,10.709999999999999
271,GAKTP,3.5600833333333304
271,GBCTP,3.16625
271,GBOTP,3.4113333333333307
271,GESTP,2.5669999999999997
271,GFMTP,4.2075000000000005
271,GGOTP,2.3105833333333305
271,GHBTP,4.78125
271,GHGTP,1.0341666666666693
271,GHOTP,1.1758333333333304
271,GHSTP,5.406
271,GJETP,3.638
271,GKITP,1.7169999999999999
271,GKLTP,3.1860833333333303
271,GLPTP,3.0713333333333304
271,GMBTP,2.18025
271,GMHTP,6.206416666666669
271,GMLTP,6.36508333333333
271,GMNTP,1.82325
271,GMZTP,4.454
271,GNBTP,4.9144166666666695
271,GRBTP,5.54483333333333
271,GROTP,2.3516666666666697
271,GTUTP,6.09025
271,GWZTP,4.27408333333333
271,HBSTP,9.593666666666696
271,NGRTP,2.1944166666666693
271,NLBTP,4.1395
271,NRDTP,4.12533333333333
271,SLOTP,9.843
1069,AGATP,8.165666666666668
1069,AIBTP,6.909083333333331
1069,AWGTP,7.41908333333333
1069,BANTP,6.02225
1069,BBRTP,6.457166666666669
1069,BGETP,6.47558333333333
1069,BLATP,6.20075
1069,BLGTP,5.734666666666669
1069,BLMTP,6.054833333333331
1069,CZATP,9.884083333333304
1069,CZMTP,9.843
1069,CZPTP,9.884083333333304
1069,GAKTP,5.143916666666669
1069,GBCTP,1.8714166666666696
1069,GBOTP,4.92858333333333
1069,GESTP,4.170666666666669
1069,GFMTP,4.7189166666666695
1069,GGOTP,2.8205833333333303
1069,GHBTP,5.29125
1069,GHGTP,1.9195833333333305
1069,GHOTP,2.1873333333333305
1069,GHSTP,5.917416666666669
1069,GJETP,2.8120833333333306
1069,GKITP,2.6548333333333303
1069,GKLTP,4.7033333333333305
1069,GLPTP,2.2468333333333304
1069,GMBTP,1.2565833333333305
1069,GMHTP,5.381916666666669
1069,GMLTP,5.539166666666669
1069,GMNTP,3.7357499999999995
1069,GMZTP,4.96541666666667
1069,GNBTP,4.21033333333333
1069,GRBTP,4.7189166666666695
1069,GROTP,1.7410833333333302
1069,GTUTP,6.304166666666669
1069,GWZTP,4.488
1069,HBSTP,8.769166666666695
1069,NGRTP,4.2415
1069,NLBTP,6.023666666666669
1069,NRDTP,6.0095
1069,SLOTP,9.017083333333305
261,AGATP,7.98008333333333
261,AIBTP,6.372166666666669
261,AWGTP,7.89366666666667
261,BANTP,3.9496666666666695
261,BBRTP,4.3222499999999995
261,BGETP,4.403
261,BLATP,4.051666666666669
261,BLGTP,3.56858333333333
261,BLMTP,3.9071666666666696
261,CZATP,9.699916666666695
261,CZMTP,9.658833333333304
261,CZPTP,9.699916666666695
261,GAKTP,2.9778333333333302
261,GBCTP,3.2895
261,GBOTP,2.7624999999999997
261,GESTP,2.0655
261,GFMTP,2.8290833333333305
261,GGOTP,1.3699166666666693
261,GHBTP,3.4028333333333305
261,GHGTP,2.3318333333333303
261,GHOTP,1.1290833333333306
261,GHSTP,4.02758333333333
261,GJETP,3.1393333333333304
261,GKITP,3.0996666666666695
261,GKLTP,2.53725
261,GLPTP,2.9707500000000002
261,GMBTP,2.1632499999999997
261,GMHTP,5.114166666666669
261,GMLTP,5.24308333333333
261,GMNTP,1.8275
261,GMZTP,3.0755833333333307
261,GNBTP,3.536
261,GRBTP,4.54608333333333
261,GROTP,3.6493333333333307
261,GTUTP,4.711833333333331
261,GWZTP,2.8942499999999995
261,HBSTP,9.493083333333304
261,NGRTP,3.0670833333333305
261,NLBTP,3.9836666666666694
261,NRDTP,3.963833333333331
261,SLOTP,8.749333333333304
257,AGATP,8.158583333333329
257,AIBTP,6.707916666666669
257,AWGTP,7.412
257,BANTP,4.214583333333331
257,BBRTP,4.6480833333333305
257,BGETP,4.6665
257,BLATP,4.393083333333331
257,BLGTP,3.927
257,BLMTP,4.247166666666669
257,CZATP,9.876999999999999
257,CZMTP,9.835916666666694
257,CZPTP,9.876999999999999
257,GAKTP,3.3362499999999997
257,GBCTP,2.4735
257,GBOTP,3.1209166666666692
257,GESTP,2.363
257,GFMTP,3.16625
257,GGOTP,1.2679166666666695
257,GHBTP,3.7385833333333305
257,GHGTP,1.6858333333333304
257,GHOTP,0.24933333333333305
